,text,author
0,"The sight of the military restored hope to those who fled, and revenge took place of fear.",MWS
1,"Just as the building was wiped out by a German shell, there had been a success.",HPL
2,Do you wonder how it will seem?,HPL
3,"My revenge is of no moment to you; yet, while I allow it to be a vice, I confess that it is the devouring and only passion of my soul.",MWS
4,"If he dares to reply, you can tell him from Lucan here it is that speeches are mere anemonae verborum, anemone words.",EAP
5,"I was troubled; a mist came over my eyes, and I felt a faintness seize me, but I was quickly restored by the cold gale of the mountains.",MWS
6,"""My dear Victor,"" cried he, ""what, for God's sake, is the matter?",MWS
7,"Wise men told him his simple fancies were inane and childish, and he believed it because he could see that they might easily be so.",HPL
8,"Ye gods and what do I behold is that the departed spirit, the shade, the ghost, of my beloved puppy, which I perceive sitting with a grace so melancholy, in the corner?",EAP
9,"Confused memories mixed themselves with his mathematics, and he believed his subconscious mind held the angles which he needed to guide him back to the normal world alone and unaided for the first time.",HPL
10,"Now that I am arrived at its base, my pinions are furled, the mighty stairs are before me, and step by step I must ascend the wondrous fane Speak What door is opened?",MWS
11,The body of Mademoiselle L'Espanaye was so firmly wedged in the chimney that it could not be got down until four or five of the party united their strength.,EAP
12,"Moreover, some years ago Maelzel visited Richmond with his automata, and exhibited them, we believe, in the house now occupied by M. Bossieux as a Dancing Academy.",EAP
13,"He looked up to her as his guide, and such was his adoration that he delighted to augment to his own mind the sense of inferiority with which she sometimes impressed him.",MWS
14,"It was to a time battered edifice of this description that I was driven one afternoon in November, , by a rain of such chilling copiousness that any shelter was preferable to exposure.",HPL
15,"He was bled, and many other of the ordinary means of relief were adopted.",EAP
16,Great pains had been taken in the scenery to give the semblance of reality to the impossible.,MWS
17,"While he spoke, so profound was the stillness that one might have heard a pin drop upon the floor.",EAP
18,"I know of no opportunity afforded him for so doing; or, if I had, why should he have stolen the jewel, to part with it again so soon?",MWS
19,"And now, behold, with the first imagination of danger, or, if you will, the first mighty and terrific trial of your courage, you shrink away and are content to be handed down as men who had not strength enough to endure cold and peril; and so, poor souls, they were chilly and returned to their warm firesides.",MWS
20,At last I saw the ancient arcaded station or what was left of it and made directly for the tracks that started from its farther end.,HPL
21,"Where did you get him?""",EAP
22,"That he was overcome by the wine just swallowed, was the idea which most readily presented itself; and, rather with a view to the preservation of my own character in the eyes of my associates, than from any less interested motive, I was about to insist, peremptorily, upon a discontinuance of the play, when some expressions at my elbow from among the company, and an ejaculation evincing utter despair on the part of Glendinning, gave me to understand that I had effected his total ruin under circumstances which, rendering him an object for the pity of all, should have protected him from the ill offices even of a fiend.",EAP
23,"But hoax, with these sort of people, is, I believe, a general term for all matters above their comprehension.",EAP
24,"""This is infinitely ridiculous,"" he cried, ""if you were school boys, you could not conduct yourselves more unreasonably.""",MWS
25,I tell you we are no longer miserable mortals; we are about to become Gods; spirits free and happy as gods.,MWS
26,Yet it remained tense through anxiety for me.,HPL
27,Everyone loved Elizabeth.,MWS
28,"Idris, you will not act the traitor towards me?"" ""Trust me,"" replied she, ""I will preserve a strict neutrality.""",MWS
29,"I was aware, however, that his very ancient family had been noted, time out of mind, for a peculiar sensibility of temperament, displaying itself, through long ages, in many works of exalted art, and manifested, of late, in repeated deeds of munificent yet unobtrusive charity, as well as in a passionate devotion to the intricacies, perhaps even more than to the orthodox and easily recognisable beauties, of musical science.",EAP
30,"that they existed in a sort of every man for himself confederacy, after the fashion of the ""prairie dogs"" that we read of in fable.",EAP
31,Nor was I greatly astonished at the nature of his decision.,EAP
32,"It is not to be supposed that a lady, or gentleman either, has been leading the life of a book worm.",EAP
33,Who was I? What was I? Whence did I come?,MWS
34,The assassin had escaped through the window which looked upon the bed.,EAP
35,"She had spoken also of the Black Man, of her oath, and of her new secret name of Nahab.",HPL
36,"The peasant woman, perceiving that my mother fixed eyes of wonder and admiration on this lovely girl, eagerly communicated her history.",MWS
37,"He is not, however, as you suppose, dizzy with magnificence, nor drunk with the ecstatic breath of those innumerable censers.",EAP
38,"He who sat near Raymond was telling a story, which convulsed the rest with laughter.",MWS
39,This daemoniac laughter which I hear as I write comes only from my own weakening brain.,HPL
40,"I was not, of course, at that time aware that this apparent paradox was occasioned by the center of the visual area being less susceptible of feeble impressions of light than the exterior portions of the retina.",EAP
41,"But it cast a shadow of myself and the cot on the floor, and had a yellowish, penetrating force that hinted at things more potent than luminosity.",HPL
42,"When I had accomplished this, it was fully midnight, and I requested the gentlemen present to examine M. Valdemar's condition.",EAP
43,I mentioned some time ago the bending of a studding sail.,EAP
44,"""One by one, her brothers and sister died; and her mother, with the exception of her neglected daughter, was left childless.",MWS
45,I should rather have looked to see the things all lying on the ground and trampled under foot.,EAP
46,"While we were endeavoring to regain it, our attention being completely absorbed, we became involved in a strong current of wind from the East, which bore us, with rapidly increasing force, towards the Atlantic.",EAP
47,"Farther back within the domain, the vision is impeded by an impenetrable screen of foliage.",EAP
48,Elizabeth alone had the power to draw me from these fits; her gentle voice would soothe me when transported by passion and inspire me with human feelings when sunk in torpor.,MWS
49,"By reference to the 'Diary of Sir Humphrey Davy' Cottle and Munroe, London, pp.",EAP
50,Never was such a place for keeping the true time.,EAP
51,"I was forced to fall back upon the unsatisfactory conclusion, that while, beyond doubt, there are combinations of very simple natural objects which have the power of thus affecting us, still the analysis of this power lies among considerations beyond our depth.",EAP
52,"And I lay close within shelter of the lilies, and observed the actions of the man.",EAP
53,But all this vanished in a second.,HPL
54,"It follows, that the desire to be well must be excited simultaneously with any principle which shall be merely a modification of combativeness, but in the case of that something which I term perverseness, the desire to be well is not only not aroused, but a strongly antagonistical sentiment exists.",EAP
55,"""Talk not of other season than this"" he cried.",MWS
56,"A moment more and the old walls again met my sight, while over them hovered a murky cloud; fragments of buildings whirled above, half seen in smoke, while flames burst out beneath, and continued explosions filled the air with terrific thunders.",MWS
57,He will reason thus: 'I am innocent; I am poor; my Ourang Outang is of great value to one in my circumstances a fortune of itself why should I lose it through idle apprehensions of danger?,EAP
58,I was overcome by weariness; the solitude depressed my spirits.,MWS
59,She never for a moment lost sight of her children.,MWS
60,I remembered that Idris had been kept in ignorance of my proceedings.,MWS
61,"On a chair lay a razor, besmeared with blood.",EAP
62,"how can you?"" interrupted the object of my animadversions, gasping for breath, and tearing off, with a desperate exertion, the bandage around its jaws ""how can you, Mr. Lackobreath, be so infernally cruel as to pinch me in that manner by the nose?",EAP
63,No sympathy may I ever find.,MWS
64,You know what he did.,HPL
65,"For a second I thought this typical physique suggested some picture I had seen, perhaps in a book, under circumstances of particular horror or melancholy; but this pseudo recollection passed very quickly.",HPL
66,"""Folks aoutside hev their stories abaout us s'pose you've heerd a plenty on 'em, seein' what questions ye ast stories abaout things they've seed naow an' then, an' abaout that queer joolry as still comes in from somewhars an' ain't quite all melted up but nothin' never gits def'nite.",HPL
67,"Lord Raymond requested permission to accompany her to Windsor Castle, to which she consented, and they quitted the cottage together.",MWS
68,They spurn and hate me.,MWS
69,The talk went on most all night.,HPL
70,"Some of the medallions have a question inscribed on each side, both of which the magician answered in succession.",EAP
71,"But the principium indivduationis, the notion of that identity which at death is or is not lost for ever, was to me, at all times, a consideration of intense interest; not more from the perplexing and exciting nature of its consequences, than from the marked and agitated manner in which Morella mentioned them.",EAP
72,"This monomania, if I must so term it, consisted in a morbid irritability of those properties of the mind in metaphysical science termed the attentive.",EAP
73,"Tears also gushed from the eyes of Clerval, as he read the account of my misfortune.",MWS
74,"His voice varied rapidly from a tremulous indecision when the animal spirits seemed utterly in abeyance to that species of energetic concision that abrupt, weighty, unhurried, and hollow sounding enunciation that leaden, self balanced and perfectly modulated guttural utterance, which may be observed in the lost drunkard, or the irreclaimable eater of opium, during the periods of his most intense excitement.",EAP
75,"Farewell, Frankenstein If thou wert yet alive and yet cherished a desire of revenge against me, it would be better satiated in my life than in my destruction.",MWS
76,"Then I saw the lurid shimmering of pale light, and heard the insidious lapping of sunless waters.",HPL
77,"She perceived me, and looked up enquiringly; her half glance of hope was misery; the words died before I could articulate them; I felt a ghastly smile wrinkle my lips.",MWS
78,"Let us set these characters down, thus, by the letters we know them to represent, leaving a space for the unknown t eeth.",EAP
79,"When he conversed with me his manner was cold and constrained; his eyes only seemed to speak, and as he turned their black, full lustre towards me they expressed a living sadness.",MWS
80,It was not like the very old folk to spare their victims at the Sabbath.,HPL
81,Immense glaciers approached the road; I heard the rumbling thunder of the falling avalanche and marked the smoke of its passage.,MWS
82,"""As to the likelihood of escaping,"" said Adrian, ""ten years hence the cold stars may shine on the graves of all of us; but as to my peculiar liability to infection, I could easily prove, both logically and physically, that in the midst of contagion I have a better chance of life than you.",MWS
83,"Here, at the road side inn, or beneath the foliage of the woods, he indulges, unchecked by any eye except those of his boon companions, in all the mad excess of a counterfeit hilarity the joint offspring of liberty and of rum.",EAP
84,"He bent toward me, took hold of my coat lapel, and hissed out some hints that could not be mistaken.",HPL
85,"We examined, first, the furniture of each apartment.",EAP
86,"I married early, and was happy to find in my wife a disposition not uncongenial with my own.",EAP
